Genome ID,pathogenicity,bacpacs,pathogenfinder,paprbag_fold1,paprbag_fold2,paprbag_fold3,paprbag_fold4,paprbag_fold5,Genome Name,Organism Name,Isolation Source,Habitat,Disease,Host Health,Other Clinical,Comments
1041522.28,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium colombiense CECT 3035 strain CECT 3035,,blood,,,HIV,,"M. colombiense infections were initially described in HIV patients in Bogot�, Colombia. In this initial study, M. colombiense was confirmed to be the causative agent of pulmonary disease and bacteraemia in this group of people who died of HIV/M. colombiense coinfection. After this study, M. colombiense has been isolated in other scenarios such as lymphadenopathy, subcutaneous infections and disseminated disease in HIV-negative patients in countries like Spain, France, China, Canada and Russia."
1196162.3,hp,hp,hp,hp,hp,hp,hp,hp,Listeria monocytogenes serotype 4b str. 10-0809 strain 10-0809,,Stool,,,Listeriosis,,Whole genome sequencing and comparison of Listeria monocytogenes Canadian food outbreaks
1196172.3,hp,nhp,hp,hp,hp,hp,hp,hp,Listeria monocytogenes serotype 4b str. 02-1289 strain 02-1289,,Stool,,,Listeriosis,,Whole genome sequencing and comparison of Listeria monocytogenes Canadian food outbreaks
1280.11681,hp,hp,hp,hp,hp,hp,hp,hp,Staphylococcus aureus strain USA300-SUR15,,Nose,,,,,The study characterizes a Staphylococcus aureus outbreak which took place in Paramaribo in the Republic of Suriname.
1280.12234,hp,hp,hp,hp,hp,hp,hp,hp,Staphylococcus aureus strain JE2,,skin and soft tissue,,,Soft Tissue Infections,,Sequence the genome of Staphylococcus aureus JE2
1302.83,hp,hp,hp,hp,hp,hp,hp,hp,Streptococcus gordonii strain FDAARGOS_257,,Blood,,,Infection with Streptococcus gordonii,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices."
1338.30,hp,hp,hp,hp,hp,hp,hp,hp,Streptococcus intermedius strain FDAARGOS_233,,Abscess,,,Abdominal abscess,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices."
1639.2624,hp,hp,hp,hp,hp,hp,hp,hp,Listeria monocytogenes strain H34,,blood and lung culture,,,neonatal sepsis,,human clinical strain
1773.8686,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium tuberculosis strain LE13,,sputum,,,Tuberculosis,,We genotyped and sequenced the complete genomes of 68 M. tuberculosisstrains isolated from unrelated TB patients in Peru. No clustering pattern of the strainswas verified based on spoligotyping. We analyzed the association between PZAresistance with non-synonymous mutations mutations and specific genes.
1773.8714,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium tuberculosis strain MDRMA2441,,sputum,,,Tuberculosis,,We genotyped and sequenced the complete genomes of 68 M. tuberculosisstrains isolated from unrelated TB patients in Peru. No clustering pattern of the strainswas verified based on spoligotyping. We analyzed the association between PZAresistance with non-synonymous mutations mutations and specific genes.
