Genome ID,species,Label,Genome Name,Host Name,Isolation Source,Isolation Comments,Genome Quality,Collection Date,Date Inserted,Other Clinical,Host Health,Disease,Comments
360118.7,Burkholderia pseudomallei,HP,Burkholderia pseudomallei 406e,"Human, Homo sapiens",toe swab,,Good,1988,2016-01-17 15:30:53.982000+00:00,host_disease_outcome:fatal,bacteremia,,Burkholderia pseudomallei 406e was re-sequenced for a reference panel of B. pseudomallei to be used in animal studies.
90239.3,Moraxella canis,HP,Moraxella canis strain CCUG 8415A,"Human, Homo sapiens",Wound,,Good,1979,2017-03-20 08:45:44.126000+00:00,,,,Identification of protein biomarkers for proteotyping pathogenic bacteria and their metabolic functions.
1392.338,Bacillus anthracis,HP,Bacillus anthracis strain Ba-9108/08-Geo,"Human, Homo sapiens",Patient ulcer,,Good,2008,2017-03-20 09:05:14.111000+00:00,,,,Draft Whole Genome Sequences of ten B. anthracis strains from the country of Georgia
1801.3,Mycolicibacterium diernhoferi,HP,Mycobacterium diernhoferi strain Bard,"Human, Homo sapiens",blood,,Good,2000,2017-01-17 02:17:48.485000+00:00,,sepsis,,"This is a meta-project to include all sequencing done by the UW Virology NGS group. We are interested in discovering viruses and new organisms through metagenomics across Washington state, the Pacific Northwest, and the world. We are also interested in whole genome sequencing of clinical isolates to better understand transmission and resistance of microbial organisms in humans. If interested in submitting samples and collaborating, please contact us at uwvirongs@gmail.com."
1561.41,Clostridium baratii,HP,Clostridium baratii strain 694-15,"Human, Homo sapiens",stool from botulism patient,,Good,Sep-2015,2017-05-27 10:55:00.696000+00:00,,,,
316.107,Pseudomonas stutzeri,HP,Pseudomonas stutzeri strain C2,"Human, Homo sapiens",lungs of cystic fibrosis patient C,isolated from three paediatric patients,Good,3-Mar-2003,2016-01-17 17:04:52.243000+00:00,,Cystic fibrosis,,"The genetic disorder cystic fibrosis is a life-limiting condition affecting ~70,000 people worldwide. Targeted, early, treatment of the dominant infecting species, Pseudomonas aeruginosa, has improved patient outcomes, however there is concern that other species are now stepping in to take its place. In addition, the necessarily long-term antibiotic therapy received by these patients may be providing a suitable environment for the emergence of antibiotic resistance. To investigate these issues, we employed whole-genome sequencing of 28 non-Pseudomonas bacterial strains isolated from three paediatric patients."
61648.10,Kluyvera intermedia,HP,Kluyvera intermedia strain FOSA7093,"Human, Homo sapiens",intraabdominal pancreas cyst,,Good,2016-03-24,2017-05-28 19:10:04.354000+00:00,,pancreatitis,,Pathogen: clinical or host-associated sample from Kluyvera intermedia
472694.3,Pantoea brenneri,HP,Pantoea brenneri strain LMG 5343,"Human, Homo sapiens",the urethra,isolated from the urethra,Good,1983,2017-05-28 20:19:04.903000+00:00,,,,"Pantoea brenneri LMG 5343T is a human pathogen, isolated from the urethra. The goal of this project is to obtain genome sequence data for every described species in the phenotypically diverse genus, Pantoea. With genome sequence data representative of the genus, the evolution and cohesiveness of this bacterial genus can be investigated and can be applied to other bacterial genera."
472693.6,Pantoea eucrina,HP,Pantoea eucrina strain LMG 5346,"Human, Homo sapiens",human trachea,isolated from human trachea,Good,1992,2017-05-28 20:25:32.791000+00:00,,,,"Pantoea eucrina LMG 5346T is a human pathogen, isolated from human trachea. The goal of this project is to obtain genome sequence data for every described species in the phenotypically diverse genus, Pantoea. With genome sequence data representative of the genus, the evolution and cohesiveness of this bacterial genus can be investigated and can be applied to other bacterial genera."
472705.4,Pantoea conspicua,HP,Pantoea conspicua strain LMG 24534,"Human, Homo sapiens",blood,isolated from blood,Good,2008,2017-05-28 20:38:15.460000+00:00,,,,"Pantoea conspicua LMG 24534T is a human pathogen, isolated from blood.The goal of this project is to obtain genome sequence data for every described species in the phenotypically diverse genus, Pantoea. With genome sequence data representative of the genus, the evolution and cohesiveness of this bacterial genus can be investigated and can be applied to other bacterial genera."
