,Genome ID,Genome Name,Species,Strain,Label,Date Inserted,Host Health,Disease,Isolation Source,Isolation Comments,Other Clinical,Comments,GenBank Accessions,NCBI Taxon ID
0,1502943.3,Veillonella seminalis strain ADV4313-2,Veillonella seminalis,ADV4313-2,HP,2019-02-01T00:16:55.569Z,not collected,,semen,"isolated from human clinical samples that were closely related in 16S rDNA-based phylogeny, and type strains of 4Veillonella species",,"We report here 18 draft genomes for 14 unidentified Veillonella sp. isolated from human clinical samples that were closely related in 16S rDNA-based phylogeny, and type strains of 4Veillonella species. Comparison of whole-genome sequences determined in this work with publicly available ones will contribute to i) decipher relationships between related species, ii) evaluate the accuracy of current thresholds for species delineation, iii) support reappraisal of the taxonomy, iv) robustly describe new species, and v) propose minimal standards for description of new species in the genus Veillonella.",RQUZ01000000,1502943
1,741828.3,Veillonella sp. VA137,Veillonella sp. VA137,VA137,HP,2019-02-01T00:15:12.242Z,not collected,,wound,"isolated from human clinical samples that were closely related in 16S rDNA-based phylogeny, and type strains of 4Veillonella species",,"We report here 18 draft genomes for 14 unidentified Veillonella sp. isolated from human clinical samples that were closely related in 16S rDNA-based phylogeny, and type strains of 4Veillonella species. Comparison of whole-genome sequences determined in this work with publicly available ones will contribute to i) decipher relationships between related species, ii) evaluate the accuracy of current thresholds for species delineation, iii) support reappraisal of the taxonomy, iv) robustly describe new species, and v) propose minimal standards for description of new species in the genus Veillonella.",RQVK01000000,741828
2,71237.20,Staphylococcus vitulinus strain DSM 9930,Staphylococcus vitulinus,DSM 9930,HP,2019-01-31T19:32:04.936Z,,,hip infection,,,Collection of Staphylococcus species,RXWX01000000,71237
3,93064.56,Sphingomonas koreensis strain SK-NIH.Pt2_0716,Sphingomonas koreensis,SK-NIH.Pt2_0716,HP,2019-01-31T16:04:18.799Z,,,bile,,,Clinical isolates from patients and hospital environment of the NIH Clinical Center and other institutions,QLJJ01000000,93064
4,1920129.3,Sphingomonas sp. S-NIH.Pt15_0812,Sphingomonas sp. S-NIH.Pt15_0812,S-NIH.Pt15_0812,HP,2019-01-31T15:33:49.037Z,,,pleural fluid,,,Clinical isolates from patients and hospital environment of the NIH Clinical Center and other institutions,QLJH01000000,1920129
5,45634.55,Streptococcus cristatus strain BCA4,Streptococcus cristatus,BCA4,HP,2019-01-31T09:00:51.588Z,,,dental plaque,,,A selection of low-passage clinical oral streptococci isolates were whole-genome shotgun sequenced for genotype-phenotype association studies,RJPN01000000,45634
6,1338.60,Streptococcus intermedius strain BCC34,Streptococcus intermedius,BCC34,HP,2019-01-31T08:56:25.228Z,,,dental plaque,,,A selection of low-passage clinical oral streptococci isolates were whole-genome shotgun sequenced for genotype-phenotype association studies,RJOQ01000000,1338
7,1305.196,Streptococcus sanguinis strain BCC14,Streptococcus sanguinis,BCC14,HP,2019-01-31T08:54:57.362Z,,,dental plaque,,,A selection of low-passage clinical oral streptococci isolates were whole-genome shotgun sequenced for genotype-phenotype association studies,RJMU01000000,1305
8,28037.500,Streptococcus mitis strain BCC22,Streptococcus mitis,BCC22,HP,2019-01-31T08:52:25.256Z,,,dental plaque,,,A selection of low-passage clinical oral streptococci isolates were whole-genome shotgun sequenced for genotype-phenotype association studies,RJPW01000000,28037
9,2420311.3,Agrobacterium sp. FDAARGOS_525 strain Not applicable,Agrobacterium sp. FDAARGOS_525,Not applicable,HP,2019-01-31T08:03:11.366Z,,,Right eye swab,,host_description:Not applicable,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",RKIU01000000,2420311
10,1409.44,Bacillus sp. (in: Bacteria) strain FDAARGOS_509 strain Not applicable,Bacillus sp. (in: Bacteria),Not applicable,HP,2019-01-31T08:02:44.193Z,,,Endotracheal aspirate,,host_description:Not applicable,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",RKIY01000000,1409
